"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"PBC","Programme Budgeting Category","String(5)","Programme Budgeting Categories are a list of programmes used to influence and track future expenditure. These categories enable the analysis of expenditure on specific disease areas such as cancer, mental health, and circulatory diseases.","0201A = HIV and AIDS
0201X = Infectious diseases
0202A = Cancer, Head and Neck
0202B = Cancer, UGI
0202C = Cancer, LGI
0202D = Cancer, Lung
0202E = Cancer, Skin
0202F = Cancer, Breast
0202G = Cancer, Gynaecological
0202H = Cancer, Urological
0202I = Cancer, Haematological
0202X = Cancers and Tumours
0203X = Disorders of Blood
0204A = Diabetes
0204B = Endocrine
0204X = Endocrine, Nutritional and Metabolic pro
0205A = Substance Misuse
0205B = Organic Mental Disorders
0205C = Psychotic Disorders
0205D = Child and Adolescent Mental Health Disorders
0205X = Other Mental Health Disorders
0206X = Problems of Learning Disability
0207A = Chronic Pain
0207X = Neurological
0208X = Problems of Vision
0209X = Problems of Hearing
0210A = Coronary Heart Disease
0210B = Cerebrovascular disease
0210C = Problems of Rhythm
0210X = Problems of circulation
0211A = Obstructive Airways Disease
0211B = Asthma
0211X = Problems of the respiratory system
0212X = Dental problems
0213A = Upper GI
0213B = Lower GI
0213C = HepatoBiliary
0213X = Problems of the gastro intestinal system
0214A = Burns
0214X = Problems of the Skin
0215X = Problems of the Musculo skeletal system
0216X = Problems due to Trauma and Injuries
0217A = Genital tract problems
0217B = Renal problems
0217C = STD
0217X = Problems of Genito Urinary system
0218X = Maternity and Reproductive Health
0219X = Conditions of neonates
0220A = Unintended consequences of treatment
0220B = Poisoning
0220C = Violence
0220X = Poisoning and adverse effects
0221A = NSF Prevention programme
0221B = NSF Mental health prevention
0221X = Healthy Individuals
0222X = Social Care Needs
0223X = Other
02U1 = Primary Diagnosis Not Recognised
02U2 = Unclassified","RULE_1220",NA,"Y"
"PCFOUND","Postcode Found Flag","String(1)","A flag to indicate whether the postcode in the field HOMEADD represents a valid registered postcode or not. Pseudo postcodes are counted as valid in this field.","Y = Valid
N = Invalid or null","RULE_1200",NA,NA
"PCGCODE","Primary Care Group","String(8)","A derived field providing the Primary Care Group responsible for the patient.","Not available",NA,NA,NA
"PCGORIG","Origin of Primary Care Group","String(1)","This derived field indicates the basis on which the Primary Care Group (PCGCODE) code was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCG code was blank  
6 = POSTCODE allocated code, PCG code was 49998  
9 = PCG code not known",NA,NA,NA
"PCON","Westminster Parliamentary Constituency of Residence","String(3)","For activity from 2011-12 onwards, HES users are advised to use the field PCON_ONS instead of PCON. 

The English Westminster Parliamentary Constituency where the patient resides, derived in HES from the patient's postcode (HOMEADD). Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS - the new-style code can be found in the field PCON_ONS.","3an = English Westminster Parliamentary Constituency
S = Scotland
U = no fixed abode
W = Wales
X = Foreign (includes Channel Islands and Isle of Man)
Y = not known
Z = Northern Ireland","RULE_1200",NA,NA
"PCON_ONS","Westminster Parliamentary Constituency of Residence (ONS)","String(9)","The English Westminster parliamentary constituency where the patient resides, derived in HES from the patient's postcode (HOMEADD).","9an = English Westminster Parliamentary Constituency
E99999999 = England (not specified)
L99999999 = Channel Islands
M99999999 = Isle of Man
N99999999 = Northern Ireland
S99999999 = Scotland
W99999999 = Wales
U = no fixed abode
X = foreign
Y = not known","RULE_1200",NA,NA
"PCONSULT","Consultant Code (Pseudonymised)","String(16)","A pseudonymised version of the Consultant Code (CONSULT).","16an = Pseudonymised consultant code  
& = Consultant code is null
99 = Consultant code is invalid",NA,NA,NA
"PCTORIG","Origin of Primary Care Trust of Responsibility","String(1)","The basis on which the code in the field PCTCODE was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code  
9 = PCT code not known",NA,NA,NA
"PCTORIG_HIS","Origin of Primary Care Trust of Responsibility","String(1)","The basis on which the code in the field PCTCODE_HIS was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",NA,"RULE_8050",NA
"PCTORIG02","Origin of Primary Care Trust of Responsibility  2002","String(1)","The basis on which the code in the field PCTCODE02 was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",NA,NA,NA
"PCTORIG06","Origin of Primary Care Trust of Responsibility  2006","String(1)","The basis on which the code in the field PCTCODE06 was assigned.","1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",NA,NA,NA
"PEREND","Cds Report Period End Date","Date(YYYY-MM-DD)","A system field used for the purposes of submitting data to SUS. It defines the end date for the range of data contained within a SUS submission, and is present on records submitted via the Bulk Update Protocol method only.","YYYY-MM-DD = The end date for the range of data contained in the SUS submission",NA,NA,NA
"PERSTART","Cds Report Period Start Date","Date(YYYY-MM-DD)","A system field used for the purposes of submitting data to SUS. It defines the start date for the range of data contained within a SUS submission, and is present on records submitted via the Bulk Update Protocol method only.","YYYY-MM-DD  = The start date for the range of data contained in the SUS submission",NA,NA,NA
"PGPPRAC","Pseudonymised Code of GP Practice","String(16)","A pseudonymised version of the GP Practice Code (GPPRAC).","16an = Pseudonymised GP practice code
& = Unknown",NA,"RULE_9009",NA
"POSOPDUR","Post-Operative Duration","Number","The difference in days between the date of the main procedure (OPDATE_01) and the Episode End Date (EPIEND).","1n to 5n = Number of days between the main procedure and the end of the episode
Null = Not applicable: no procedure or episode is unfinished",NA,"RULE_1070",NA
"POSTDUR","Postnatal Stay","Number","On delivery and birth episodes only (where EPITYPE is 2 or 3), this derived field calculates the number of days between the baby's birth and the end of the finished episode. It is calculated from the Episode End Date (EPIEND) and the baby's Date of Birth (DOBBABY on delivery records, DOB on birth records).","3n = The number of days of stay, from 0 to 270  
Null = Not applicable / not known",NA,"RULE_0820","Y"
"PREFERER","Referrer Code (Pseudonymised)","String(16)","A pseudonymised version of the Referrer Code (REFERRER).","16an = Pseudonymised referrer code  
& = Referrer code is null
99 = Referrer code is invalid","RULE_9008",NA,NA
"PREGGMP","Registered or Referring GP (Pseudonymised)","String(16)","A pseudonymised version of the Registered or Referring GP (REGGMP) field.","16an = pseudonymised registered or referring GP code 
& = registered or referring GP code is null
99 = registered or referring GP code is invalid","RULE_9008",NA,NA
"PREOPDUR","Pre-Operative Duration","Number","This derived field contains the difference in days between the Episode Start Date (EPISTART) and the date of the main procedure (OPDATE_01).","3n = Number of days between the start of the episode and the main procedure from 0-365
Null = Not applicable: no operation or procedure unfinished",NA,"RULE_1075",NA
"PRIMERCP","CDS Prime Recipient Identity","String(12)","A system field representing the code of the organisation determined to be the Commissioning Data Set Prime Recipient of the Commissioning Data Set Message as indicated in the Commissioning Data Set Addressing Grid.","an3 or an5 = Prime recipient organisation code
Q99 = Not known
X98 = Not applicable",NA,NA,NA
"PROCODEO","Provider Code (Original)","String(5)","The code of the organisation acting as the health care provider, as submitted. Note that provider codes are subject to a mapping process in HES, which attempts to allocate a valid provider code to records that were submitted with an invalid/closed provider code. This field contains the submitted code. Where the code in this field is different to the code in the PROCODE field, the provider code has been mapped in HES. Users are advised to use the fields PROCODE, PROCODE3, PROCODE5 or PROCODET to identify the provider, as PROCODEO can contain invalid codes.","3an to 5an = Submitted provider code",NA,NA,NA
"PROVSPNO","Hospital Provider Spell Number","Number","A unique identifier for the Hospital Provider Spell within a Health Care Provider. As this field is locally generated it may not be unique within the data set, but it should be unique per provider. This field is unavailable for use, and is null in all years.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field. A pseudonymised version of this field can be found in the field PROVSPNOPS.","12an = Hospital provider spell number",NA,NA,NA
